home_team_id,away_team_id,home_strength,away_strength,result
5,117,1.391304347826087,0.918918918918919,1
94,31,1.7291666666666667,1.2647058823529411,1
114,2,1.1875,1.394736842105263,0
58,136,1.8,1.1,0
127,21,1.2352941176470589,0.8,1
34,70,1.5853658536585367,1.0454545454545454,2
209,193,1.2692307692307692,1.1777777777777778,1
5,114,1.391304347826087,0.4117647058823529,0
117,2,1.411764705882353,1.394736842105263,2
94,74,1.7291666666666667,1.3409090909090908,0
58,127,1.8,0.7619047619047619,0
136,21,1.697674418604651,0.8,0
34,209,1.5853658536585367,1.0869565217391304,0
70,193,1.2758620689655173,1.1777777777777778,1
5,2,1.391304347826087,1.394736842105263,1
117,114,1.411764705882353,0.4117647058823529,0
31,74,1.5151515151515151,1.3409090909090908,2
58,21,1.8,0.8,0
136,127,1.697674418604651,0.7619047619047619,0
34,193,1.5853658536585367,1.1777777777777778,1
70,209,1.2758620689655173,1.0869565217391304,2
5,74,1.391304347826087,1.3409090909090908,2
94,2,1.7291666666666667,1.394736842105263,2
58,34,1.8,1.0833333333333333,0
209,136,1.2692307692307692,1.1,1
2,58,2.108108108108108,1.1935483870967742,2
74,136,1.675,1.1,0
136,2,1.697674418604651,1.394736842105263,0
74,58,1.675,1.1935483870967742,2
173,121,1.3636363636363635,1.4,1
202,69,1.676923076923077,1.44,1
8,136,1.794871794871795,1.1,0
60,200,2.4482758620689653,1.1724137931034482,1
174,76,2.26,1.0,0
2,170,2.108108108108108,1.119047619047619,2
73,11,3.0517241379310347,1.6122448979591837,0
165,74,1.853658536585366,1.3409090909090908,2
93,146,2.1272727272727274,0.7017543859649122,1
96,34,2.740740740740741,1.0833333333333333,0
131,53,2.694915254237288,1.8,0
27,137,2.072463768115942,0.8076923076923077,0
94,150,1.7291666666666667,1.9107142857142858,1
133,169,3.823529411764706,1.2916666666666667,1
84,40,1.375,0.9814814814814815,2
173,202,1.3636363636363635,1.0740740740740742,2
176,181,2.7857142857142856,1.4464285714285714,2
8,174,1.794871794871795,1.5490196078431373,0
69,121,2.4545454545454546,1.4,2
76,136,1.5681818181818181,1.1,0
60,2,2.4482758620689653,1.394736842105263,1
73,165,3.0517241379310347,1.2790697674418605,2
170,200,1.5348837209302326,1.1724137931034482,1
34,53,1.5853658536585367,1.8,2
74,11,1.675,1.6122448979591837,1
131,96,2.694915254237288,1.9803921568627452,0
27,94,2.072463768115942,1.6363636363636365,0
93,133,2.1272727272727274,1.3846153846153846,1
169,146,1.4090909090909092,0.7017543859649122,2
40,181,1.537037037037037,1.4464285714285714,0
150,137,2.6,0.8076923076923077,0
176,84,2.7857142857142856,0.8125,0
76,8,1.5681818181818181,1.469387755102041,2
121,202,1.3055555555555556,1.0740740740740742,2
136,174,1.697674418604651,1.5490196078431373,1
173,69,1.3636363636363635,1.44,0
11,165,2.310344827586207,1.2790697674418605,0
74,73,1.675,2.5652173913043477,2
170,60,1.5348837209302326,2.418181818181818,2
200,2,1.972972972972973,1.394736842105263,0
34,131,1.5853658536585367,2.297872340425532,2
53,96,1.9795918367346939,1.9803921568627452,2
146,133,1.1333333333333333,1.3846153846153846,1
169,93,1.4090909090909092,1.5961538461538463,0
40,176,1.537037037037037,2.0377358490566038,2
137,94,1.2,1.6363636363636365,2
150,27,2.6,1.3529411764705883,1
181,84,2.2888888888888888,0.8125,1
202,174,1.676923076923077,1.5490196078431373,0
200,74,1.972972972972973,1.3409090909090908,2
8,121,1.794871794871795,1.4,0
73,60,3.0517241379310347,2.418181818181818,0
27,40,2.072463768115942,0.9814814814814815,0
131,169,2.694915254237288,1.2916666666666667,0
146,96,1.1333333333333333,1.9803921568627452,1
176,150,2.7857142857142856,1.9107142857142858,0
131,27,2.694915254237288,1.3529411764705883,0
202,74,1.676923076923077,1.3409090909090908,1
8,73,1.794871794871795,2.5652173913043477,2
146,176,1.1333333333333333,2.0377358490566038,2
